id,name,genreisnongame,genreisindie,genreisaction,genreisadventure,genreiscasual,genreisstrategy,genreisrpg,genreissimulation,genreisearlyaccess,genreisfreetoplay,genreissports,genreisracing,genreismassivelymultiplayer
296,Frontlines: Fuel of War,false,false,true,false,false,false,false,false,false,false,false,false,false
297,Saints Row 2,false,false,true,false,false,false,false,false,false,false,false,false,false
298,Gish,false,true,false,false,false,false,false,false,false,false,false,false,false
299,Desperados 2: Cooper’s Revenge,false,false,true,false,false,false,false,false,false,false,false,false,false
300,Tycoon City: New York,false,false,false,false,false,false,false,true,false,false,false,false,false
301,Act of War: High Treason,false,false,true,false,false,false,false,false,false,false,false,false,false
302,Death to Spies,false,false,true,true,false,false,false,false,false,false,false,false,false
303,Codename: Panzers - Cold War,false,false,false,false,false,true,false,true,false,false,false,false,false
304,Ghostbusters: The Video Game,false,false,true,false,false,false,false,false,false,false,false,false,false
305,Champions Online,false,false,false,false,false,false,true,false,false,true,false,false,true
306,Star Trek Online,false,false,false,false,false,false,true,false,false,true,false,false,true
307,Test Drive Unlimited 2,false,false,false,false,false,false,false,false,false,false,false,true,false
308,Blade Kitten,false,false,true,true,false,false,false,false,false,false,false,false,false
309,Haunted House,false,false,false,true,false,false,false,false,false,false,false,false,false
310,Star Raiders,false,false,true,false,false,false,false,false,false,false,false,false,false
311,The UnderGarden,false,false,false,false,true,false,false,false,false,false,false,false,false
312,Ghostbusters: Sanctum of Slime,false,false,true,true,false,false,false,false,false,false,false,false,false
313,Call of Duty: World at War,false,false,true,false,false,false,false,false,false,false,false,false,false
314,King's Quest Collection,false,false,false,true,false,false,false,false,false,false,false,false,false
315,Space Quest Collection,false,false,false,true,false,false,false,false,false,false,false,false,false
316,Aces of the Galaxy,false,false,true,false,true,false,false,false,false,false,false,false,false
317,TimeShift,false,false,true,false,false,false,false,false,false,false,false,false,false
318,3D Ultra Minigolf Adventures Deluxe,false,false,false,false,false,false,false,false,false,false,true,false,false
319,Prototype,false,false,true,true,false,false,false,false,false,false,false,false,false
320,Call of Duty: Modern Warfare 2,false,false,true,false,false,false,false,false,false,false,false,false,false
321,Call of Duty: Modern Warfare 2 - Multiplayer,false,false,true,false,false,false,false,false,false,false,false,false,false
322,Postal 3,false,false,true,false,false,false,false,false,false,false,false,false,false
323,Dead Mountaineer's Hotel,false,false,false,true,false,false,false,false,false,false,false,false,false
324,Stroke of Fate: Operation Valkyrie,false,false,false,true,false,false,false,false,false,false,false,false,false
325,PT Boats: Knights of the Sea,false,false,false,false,false,false,false,true,false,false,false,false,false
326,PT Boats: South Gambit,false,false,false,false,false,false,false,true,false,false,false,false,false
327,Disciples III: Reincarnation,false,false,false,false,false,true,true,false,false,false,false,false,false
328,The Club,false,false,true,false,false,false,false,false,false,false,false,false,false
329,Empire: Total War,false,false,false,false,false,true,false,false,false,false,false,false,false
330,Beijing 2008,false,false,false,false,false,false,false,false,false,false,true,false,false
331,Space Siege,false,false,true,false,false,false,true,false,false,false,false,false,false
